구분연월,행태별 - 개별여행,행태별 - 부분패키지,행태별 - 패키지,여행객 총합,목적별 - 레저스포츠,목적별 - 회의및업무,목적별 - 휴양및관람,목적별 - 친지방문,목적별 - 교육여행,목적별 - 기타방문
18-Jan,931530,83664,29762,1044956,126413,78743,757889,75741,234,2936
18-Feb,731347,130051,31465,892863,103573,54538,681718,50344,0,2690
18-Mar,833785,152597,47396,1033778,94279,97756,758206,54840,18785,9912
18-Apr,716499,289775,218246,1224520,180153,175460,772325,28582,62892,5109
18-May,815996,198131,191777,1205904,149737,52129,823440,41241,73417,65940
18-Jun,935068,196771,46173,1178012,161547,54838,870959,77419,10689,2560
18-Jul,922316,157426,43148,1122890,124283,61369,867169,64040,3123,2906
18-Aug,1038643,78686,29427,1146756,136388,36720,949466,15737,3199,5246
18-Sep,880738,152195,65658,1098591,64870,69860,858283,67365,25738,12475
18-Oct,868257,123683,136307,1128247,136051,121210,700049,84105,69517,17315
18-Nov,920287,74009,41735,1036031,131927,41832,769052,80445,12775,0
18-Dec,799716,103493,73371,976580,181896,21955,708768,37634,1237,25090
19-Jan,916626,77686,29818,1024130,110536,24277,835112,46126,687,7392
19-Feb,704981,199100,94809,998890,114782,71107,760851,42665,0,9485
19-Mar,837709,165242,35272,1038223,171844,85051,699855,60751,13402,7320
19-Apr,908639,174689,75338,1158666,194187,89367,745744,68145,52616,8607
19-May,884364,146160,145535,1176059,129034,50526,874526,30678,83508,7787
19-Jun,914476,192687,47857,1155020,156384,53699,852915,75809,13114,3099
19-Jul,924637,200162,32648,1157447,58971,63065,945970,76775,2486,10180
19-Aug,1109760,84932,48440,1243132,149354,39634,1024831,16986,3144,9183
19-Sep,834467,140645,57366,1032478,67494,64248,796500,68554,20301,15381
19-Oct,1044280,121052,89087,1254419,193546,118238,729136,121053,60936,31510
19-Nov,1027256,76482,74030,1177768,159208,45887,841307,89593,23770,18003
19-Dec,1111007,23817,8948,1143772,83319,62792,930059,45471,2452,19679
20-Jan,1028221,54338,21879,1104438,120890,40753,823210,105958,144,13483
20-Feb,581380,15921,2274,599575,30042,76200,408295,70514,0,14524
20-Mar,468096,7945,1135,477176,27280,54477,324593,56747,0,14079
20-Apr,533225,5400,2474,541099,28394,53859,381297,67017,0,10532
20-May,750271,13458,1887,765616,57543,57824,584612,55751,120,9766
20-Jun,846253,8157,6118,860528,27181,59140,681136,87691,0,5380
20-Jul,968395,12874,6825,988094,49742,68728,749450,109765,0,10409
20-Aug,1077542,22866,26689,1127097,47232,45202,999753,26589,100,8221
20-Sep,707026,13942,5201,726169,52730,39936,547341,74683,0,11479
20-Oct,1028256,24453,19746,1072455,140142,112996,704112,101296,0,13909
20-Nov,1060958,18842,58569,1138369,145018,63142,827550,87984,82,14593
20-Dec,605225,9259,8578,623062,45276,52828,450468,52927,0,21563
